Gene	CTRL_1	CTRL_2	CTRL_3	Eto_1	Eto_2	Eto_3
FLNB	160719941.9	155472719.2	154502458.8	217913269.7	235979920.3	230210404.1
FN1	222201843.1	210886669.5	228238149.6	668396300.4	534070760.1	553155403.6
ANXA6	521613383.5	485768898	479859210.1	350867615.7	327367204.6	321706457.8
P4HB	582356881.2	585542013	613189799.4	920375856.2	1018058010	1017433015
SERPINA1	135462043.6	148303532.2	107546245.8	516861132.8	535365076.8	488194144.5
CALD1	126110168	137253653.4	159850495.3	309113541.1	309659989.6	315291816
TPM4	204196854.2	192784786.2	199852351.4	137387902.6	127291270.3	135671282.6
TAGLN2	155627044.4	161235167.7	162984069.2	109695888.7	90243316.91	98651319.51
MATR3	46898893.01	46223666.19	45288561.62	31215001.25	23559781.55	28964140.83
SFPQ	44198755.11	46125757.92	47034079.38	11729846.13	11611217.57	15671564.25
RAI14	12226014.81	12962049.59	11307542.16	29504741.1	37505376.42	35804733.76
RPLP0	122357282.9	118180615.2	112959600	30051140.41	23546170.43	32022648.26
P3H1	36465951.42	34616666.63	36973502.58	57088430.67	59951037.37	59984555.21
C3	7424023.472	7390604.488	5395598.853	21243564.98	26968509.86	21907780.54
STAT1	19083218.22	21461728.8	24885552.16	63848449.46	75647244.26	71189091.01
DIAPH1	11163156.85	10784758.6	9824627.805	4903575.066	5840486.691	5717626.763
FKBP9	17738668.12	19578039.84	20634492.08	37213359.58	38047673.34	42505039.8
PEPD	39018103.62	40012811.93	47491194.09	146036422.4	154190888	147310180.5
PSMD6	11723674.44	10669231.84	10233769.02	4679402.286	3696330.72	3674384.163
RBBP4	2127415.706	1726767.717	1441485.355	29739451.55	39142566.26	34200009.29
ITIH4	10806559.17	9894824.605	9869048.064	33342482.97	36933501.4	37897091.67
CTSA	11408782.3	11893063.83	12431032.25	28024304.49	25847261.71	25037806.6
FAP	5114933.795	5316505.751	5213074.179	10521240.18	13163669.48	12560340.3
GJA1	1276354.257	1241225.101	1333432.526	7577651.597	8410357.059	9137184.639
SNRNP70	13671667.29	11277438.67	12709764.26	2124695.95	1979729.722	3181260.811
ITSN1	184532.7441	284871.0676	95194.08368	5651935.355	7797703.391	6704939.46
PTGES3	33382111.01	36152413.5	35457953.81	17241574.56	16470859.91	20411630.89
TTLL12	4893334.584	5432249.936	6059148.789	1224211.859	1225869.813	1560489.594
PLCG1	1372444.208	1469897.749	1520519.065	2758444.445	3291664.014	3304285.073
MRPL9	18820931.09	18154268.13	21710356.02	2133316.512	87788.76528	1259657.065
RAP2C	1318898.621	954670.1155	1479869.614	123803.2624	88280.12371	98035.43647
MXRA5	386771.0422	1148192.251	874800.3904	29805585.43	46013729.74	41864383.79
RPL36	9940445.903	13198229.25	11999589.3	2252212.068	793513.4988	483897.5894
EXOC7	730151.0066	1352362.132	1237248.783	4644366.321	4884935.872	5096524.478
SH2D4A	522437.1263	410977.3783	598986.4023	2045913.481	2566172.19	2567327.727
AHCYL1	801451.1669	627387.9636	743277.5915	4740981.378	5981542.206	5418674.871
TCEA1	4172347.79	4491677.003	3636436.31	1027538.902	969975.1462	1187808.738
ELP2	1858732.913	1906046.155	1013123.283	159449093.9	255115937.1	200093543.8
BSDC1	418403.9811	416824.3443	416837.0753	64345.75302	67082.75891	60376.31013
ADA	202994.5741	213761.7179	223044.7975	2043819.721	2275705.603	2597614.439
LTN1	5280305.456	5221479.829	3602348.907	316284.9026	367953.6794	107821.3132
REEP5	11335051.61	11807256.31	15247993.53	578729.685	538489.2856	470946.4413
ORMDL1	339117.7138	240390.168	297024.8356	22078.42592	27041.88669	37033.34818
FLNA	1884851886	1839619201	1935036357	2638653238	2835520028	2820678873
NPEPPS	21940425.87	21106867.65	21058612.3	36065099.18	39431888.65	40671595.99
LRPAP1	25152327.31	27663687.34	28273321.14	53876385.65	54626328.24	49578558.22
SEPTIN7	39093379.31	43346420.73	45290723.86	60426895.28	66267721.37	67499474.98
IPO7	8585787.896	8061345.448	8653227.153	3210320.051	808957.2386	1543222.055
SWAP70	6065028.61	4765675.177	4731239.288	9839687.107	11298754.25	11648398.72
NEXN	9794772.275	10618647.96	11170935.72	17288333.02	16920823.64	15394263.8
ABHD14B	8936092.931	9736705.641	8963135.318	6211836.961	6138755.705	5697123.372
PNP	6219585.377	7303144.719	6972751.249	4126305.607	4086573.158	3728348.634
NEK9	2368796.775	2530254.344	2952956.429	5694617.933	7698981.524	6945618.84
PDCD11	1038552.872	1372297.814	876340.5681	6480020.029	6841575.497	4626467.544
PDCD6	4463815.662	5570512.67	4419536.034	1252976.607	498401.3738	738773.7632
ITGA5	5942831.364	7199903.786	7717381.375	2270451.016	534725.6104	923232.5667
MXRA8	6715853.553	7113436.113	8414954.045	2796575.394	1847080.06	2696219.111
FETUB	7727058.703	8738786.612	8968578.377	36031625.94	50096394.8	34114739.42
ORM1	293498.6662	905969.5721	659540.8263	21743397.71	15526723.05	13255982.36
ENDOD1	3478647.545	3582693.684	3863023.215	746676.6756	384014.4975	781628.6627
