Gene	CTRL_1	CTRL_2	CTRL_3	FTY_1	FTY_2	FTY_3
FN1	222201843.1	210886669.5	228238149.6	670342640.1	712766778.7	744619721.8
TPM4	204196854.2	192784786.2	199852351.4	148481635.8	139408628.1	155742736.7
ABHD14B	8936092.931	9736705.641	8963135.318	4447310.281	3240323.311	3521831.561
TTLL12	4893334.584	5432249.936	6059148.789	1620664.054	688429.2847	1751363.28
MRPL9	18820931.09	18154268.13	21710356.02	3868639.164	2050498.543	925667.6078
RPL36	9940445.903	13198229.25	11999589.3	1480793.048	1522466.143	1589841.453
TCEA1	4172347.79	4491677.003	3636436.31	953892.6965	272657.1808	602014.276
DNPH1	250735.1949	226073.912	322559.5907	934925.2184	1144735.417	973617.7877
BSDC1	418403.9811	416824.3443	416837.0753	130734.0571	165531.8546	129135.895
LTN1	5280305.456	5221479.829	3602348.907	830304.241	500103.5429	496547.0172
TNC	14196999.57	14871263.62	13876723.82	47504911.86	49260119.43	64542869.57
NOP58	9149238.815	10057589.5	8864378.354	13743068.33	14905574.51	15153331.23
PRPS1	35631096.51	34983021.16	34653163.9	19477628.49	20815593.23	16089387.18
PSMD6	11723674.44	10669231.84	10233769.02	6141878.686	6609495.551	7096713.609
HMOX1	2825821.837	2025231.15	2803997.708	5637587.187	6599287.147	5695434.98
PTGES3	33382111.01	36152413.5	35457953.81	49178354.13	50984356.04	46436985.6
PDCD6	4463815.662	5570512.67	4419536.034	1548125.337	338182.1566	1234474.265
RAP2C	1318898.621	954670.1155	1479869.614	254210.8262	277312.2699	110990.5422
YTHDF2	21558.86129	52908.59465	47469.97782	784374.7765	558971.8703	530914.5324
WDR77	3666404.636	3221576.425	3809884.67	1108707.074	822155.7029	521284.8956
SEPTIN7	39093379.31	43346420.73	45290723.86	61152552.75	66617492.13	60346039.21
EPS8	6966317.612	7689760.067	6848487.177	3936300.544	4072971.9	3416155.491
TXNL1	20153636.72	17673730.86	28122425.78	2918159.16	2133213.782	3878798.902
SLC3A2	12775592.47	14168382.86	13681592.46	9019749.376	8619016.503	9335481.606
SNRNP70	13671667.29	11277438.67	12709764.26	7878241.705	7928302.708	6638796.161
H6PD	26125132.43	31578358.62	43573210	6642308.751	981517.145	1658481.947
TAGLN2	155627044.4	161235167.7	162984069.2	123187895.7	123312332.1	125809589.9
SEC62	5151075.082	5317675.473	5775811.484	2004564.64	2235072.534	1975549.175
MYH10	14528535.03	17533975.48	15646573.89	26490541.87	28236596.6	30461225.15
RPLP0	122357282.9	118180615.2	112959600	69550740.27	55129219.81	67435684.05
DYNC1I2	14457367.38	14119301.48	14541339.72	19296957.88	17889249.34	17653322.86
NCLN	14245967.21	14755021.07	12787198.33	7512704.759	5596684.312	5665587.239
VAMP7	922482.5329	1013578.628	1087966.284	344016.8349	423197.3535	405893.6335
