Gene	CTRL_1	CTRL_2	CTRL_3	FTY_Eto_1	FTY_Eto_2	FTY_Eto_3
FLNB	160719941.9	155472719.2	154502458.8	217227617.9	211382454.6	214265548.3
NOP58	9149238.815	10057589.5	8864378.354	15044018.48	14837759.81	15717524.85
PRPS1	35631096.51	34983021.16	34653163.9	18574645.5	16950536.06	17355008.72
HIP1	5430900.346	5083469.534	6316536.368	11166575.58	11315380.17	11816169.37
PSMD6	11723674.44	10669231.84	10233769.02	4477819.391	4526817.824	4720324.734
TTLL12	4893334.584	5432249.936	6059148.789	1947720.133	1839478.863	1985491.89
MRPL9	18820931.09	18154268.13	21710356.02	3382850.086	2769129.659	3149590.86
RAP2C	1318898.621	954670.1155	1479869.614	85693.15625	90882.73061	82333.46482
RPL36	9940445.903	13198229.25	11999589.3	3539520.5	1976645.401	2946918.337
DNPH1	250735.1949	226073.912	322559.5907	928287.8438	862539.2554	784626.6624
BPHL	505302.4889	520608.6793	460761.9091	1666871.25	1545564.562	1517644.415
BSDC1	418403.9811	416824.3443	416837.0753	120549.1328	101484.6884	83815.583
VAMP7	922482.5329	1013578.628	1087966.284	221862.0938	254507.173	104596.8854
ADA	202994.5741	213761.7179	223044.7975	1814437.031	1811012.428	1751417.768
LTN1	5280305.456	5221479.829	3602348.907	720484.0625	571981.2844	571431.6432
REEP5	11335051.61	11807256.31	15247993.53	261970.13	391187.4373	449016.1873
MYH10	14528535.03	17533975.48	15646573.89	29047473.86	32856102.14	30547052.15
SFPQ	44198755.11	46125757.92	47034079.38	22790066.92	23392088.8	22922297.56
RPLP0	122357282.9	118180615.2	112959600	66807821.27	39005831.38	61988428.95
DIAPH1	11163156.85	10784758.6	9824627.805	6927720.008	6220029.705	6531299.206
ERP44	41401870.65	41329324.74	43125124.15	20969673.82	20159258.69	21198521.61
PEPD	39018103.62	40012811.93	47491194.09	157901167.4	127006345	123157845.1
SLC3A2	12775592.47	14168382.86	13681592.46	9781305.891	7816156.055	8138988.911
CTSA	11408782.3	11893063.83	12431032.25	24521741.75	24939171.03	22384275.66
SNRNP70	13671667.29	11277438.67	12709764.26	6721657.188	6699188.666	6442531.489
MSH2	2385390.957	2419061.764	2427093.049	8464980.539	7349077.503	7873173.803
AHCYL1	801451.1669	627387.9636	743277.5915	4456896.813	3900653.436	4060403.448
WDR77	3666404.636	3221576.425	3809884.67	1442150.656	196818.5853	650064.3296
ELMOD2	2211389.012	2058639.62	2266002.759	3244953.516	3360841.731	3644902.576
MRPL39	428009.1183	347739.7811	515431.8131	1715398.012	1597957.792	1442877.697
ARHGEF12	237024.754	114443.1678	119108.9416	2106894.031	2049414.822	2105401.055
UCHL5	1676810.353	1129497.049	1540173.172	248339.875	124037.6486	155577.4951
PNP	6219585.377	7303144.719	6972751.249	4177036.828	3880957.098	4337931.72
YES1	1908974.133	1710757.972	2191747.275	29968218.23	22466419.02	29796967.61
H6PD	26125132.43	31578358.62	43573210	2431105.141	2678222.961	3189469.533
ZC3H15	3872570.87	3593520.52	3350870.907	7932031.844	8381375.118	7767089.504
CHP1	9196716.288	9157942.917	8781669.662	3430143.266	3230369.426	2685341.256
NOC3L	966324.029	797509.6369	887603.1045	3844509.156	3449604.937	3696067.691
ABCF3	1744329.499	1800926.626	1170588.806	68327.4375	154266.8967	69301.46801
TRAPPC3	87277.19847	68893.66707	116747.5725	3542993.313	3338035.326	3484698.371
PDIA4	111537690.1	109329876.9	102265617.5	206644767.2	216956895.6	199662366.3
P3H1	36465951.42	34616666.63	36973502.58	51249650.34	52770022.98	51500353.73
TXNL1	20153636.72	17673730.86	28122425.78	4734505.559	3904826.176	5077989.282
FKBP1A	19450821.31	22830639.45	25559592.24	1592619.402	2652127.639	2108582.579
ABHD14B	8936092.931	9736705.641	8963135.318	6561817.195	6168841.416	6671873.813
GATD3B	3405859.67	3350152.133	3575875.091	9972934.719	10071606.87	9457579.846
ITSN1	184532.7441	284871.0676	95194.08368	4694253.172	4338669.681	4055209.12
ALG1	561247.8492	721112.6675	586866.5257	3576141.18	3814585.513	3372994.31
UQCRB	16013282.06	18697944.47	14094433.89	2726558.75	2970565.84	2634953.405
FN1	222201843.1	210886669.5	228238149.6	502861442.4	508375513.2	447471574
RPL31	76749933.53	79900315.69	61111330.8	33548222.63	33839538.41	37119843.89
MXRA8	6715853.553	7113436.113	8414954.045	3236222.719	3321008.734	3812303.035
SH3GLB1	2968704.528	3497310.959	3980139.045	6703732.436	6004429.948	7432376.175
SH2D4A	522437.1263	410977.3783	598986.4023	1614470.195	1519411.8	1480767.519
TCEA1	4172347.79	4491677.003	3636436.31	2298116.5	2420320.643	2542419.063
APPL2	10946830.85	10090255.65	10718324.09	16096555.73	15668647.81	15416114.72
CYC1	2564960.144	1673603.769	1929238.661	582526	472085.9194	522045.5685
