Gene	Eto_1	Eto_2	Eto_3	FTY_1	FTY_2	FTY_3
FLNB	217913269.7	235979920.3	230210404.1	174607898.7	182186587.4	185151485.2
LDHA	1262102937	1404005834	1333025433	854373066.4	742521043.4	877100843.5
SERPINA1	516861132.8	535365076.8	488194144.5	152320791.4	167230684.2	167557885.3
CALD1	309113541.1	309659989.6	315291816	116500739.5	136745862	175553311.5
SFPQ	11729846.13	11611217.57	15671564.25	50500784.66	40583207.14	41307928.18
HNRNPL	26892998.89	29984347.72	30622838.88	50255042.68	59658947.55	55868113.25
P3H1	57088430.67	59951037.37	59984555.21	37941596.39	31532504.53	40244016.96
C3	21243564.98	26968509.86	21907780.54	8359408.778	4249395.268	5005412.959
PEPD	146036422.4	154190888	147310180.5	36265658.04	50103373.12	18528451
DYNC1I2	13205862.56	11410527.11	12217209.37	19296957.88	17889249.34	17653322.86
RBBP4	29739451.55	39142566.26	34200009.29	3698245.553	560424.142	7816722.207
ITIH4	33342482.97	36933501.4	37897091.67	7985038.695	7926715.042	4133211.035
NEXN	17288333.02	16920823.64	15394263.8	10333547.82	8933976.975	7909073.601
RPL31	33194253.08	34598067.35	34219811.79	84345399.88	98833994.26	88839561.57
FAP	10521240.18	13163669.48	12560340.3	5461021.182	6391996.728	5266086.675
ITSN1	5651935.355	7797703.391	6704939.46	162894.3306	1658778.732	831247.6419
PTGES3	17241574.56	16470859.91	20411630.89	49178354.13	50984356.04	46436985.6
NEK9	5694617.933	7698981.524	6945618.84	2215954.11	2550747.093	2151791.334
MXRA5	29805585.43	46013729.74	41864383.79	2530911.797	1933754.457	4088409.08
BYSL	6127537.436	7151165.72	5000275.527	1160961.287	1201736.89	945703.7124
SH2D4A	2045913.481	2566172.19	2567327.727	182837.698	430469.4655	351260.1749
ABRACL	463489.1462	800614.1393	747632.5284	3154475.714	3402257.809	4050727.171
ELMOD2	3590647.573	3154681.838	3338513.566	1848250.446	1851972.93	1929645.614
DNPH1	239836.3244	253545.3619	253378.6936	934925.2184	1144735.417	973617.7877
ADA	2043819.721	2275705.603	2597614.439	247581.9417	579728.2125	717533.3677
SULF1	2088522.005	2598557.306	2323172.479	902822.0388	528913.1891	387877.2892
REEP5	578729.685	538489.2856	470946.4413	16873988.07	14131717.61	15099074.38
RAI14	29504741.1	37505376.42	35804733.76	13286364.86	16103213.67	18493786.38
ARF6	12968410.67	15594516.64	13657217.18	5378473.145	3843271.869	5193706.702
JPT1	2352702.551	2391149.452	2232274.549	7283597.258	10406781.37	10163168.16
FETUB	36031625.94	50096394.8	34114739.42	10372479.35	6033470.635	5565475.334
EIF3J	3723917.525	4503267.113	3879680.761	8470457.228	8837822.4	7045081.919
GSTM3	8301879.28	8340600.015	7965382.074	5968664.254	4965599.716	5312551.729
PSMD10	9277550.433	9340106.152	8791631.04	2941154.78	812008.3507	1427449.439
AHCYL1	4740981.378	5981542.206	5418674.871	2157560.794	1123919.901	2153857.463
MRPL39	1485481.461	1943666.766	1854104.496	693681.4979	349749.5529	476332.9089
ELP2	159449093.9	255115937.1	200093543.8	2156980.027	1938394.207	26232478.94
CTSB	95282380.47	102081466.9	116135433.1	195764861.7	240731634.3	215025742.9
FKBP9	37213359.58	38047673.34	42505039.8	24422778.66	19938512.59	25106710.55
SET	26349428.28	31081716.1	32009207.75	49346095.1	47388708.99	47213796.06
CTSA	28024304.49	25847261.71	25037806.6	13668084.99	16251779.9	18153001.44
SNRNP70	2124695.95	1979729.722	3181260.811	7878241.705	7928302.708	6638796.161
PDCD11	6480020.029	6841575.497	4626467.544	1014672.693	1013467.589	2071503.15
EDIL3	3773205.147	5225984.799	4885595.994	1984585.728	1085102.426	820641.2125
ARSB	2867597.306	3225680.5	3021224.191	1224314.393	782299.8173	271318.747
PLEKHO2	20370428.04	19229932.79	11392997.21	820470.4246	1431655.726	1247943.027
CKAP4	428614604.3	368533424	408333734.6	202908523	272288862.3	269181096.2
CALU	155238686.1	146556307.4	147273554	316611992.3	315114629.9	241019150.9
ITGAV	34623523.36	39281416.34	36470298.55	14588554.14	17617028.95	24210586.19
HMGB1	18534176.7	23795382.75	22595846.99	82137583.91	95538143.88	128545060.4
TIGAR	5513528.564	6502009.29	6715954.251	3474190.337	1607638.917	2550297.205
PLCG1	2758444.445	3291664.014	3304285.073	2073257.154	2003839.775	2196416.104
EIF2B1	2228639.442	2458461.662	2598061.153	633401.3395	66293.13407	140572.2744
CPPED1	459063.3572	296362.6065	377910.5705	3483925.037	2263325.086	4071628.823
HACD3	1105119.763	1086688.75	1180252.693	2367306.378	2299685.364	2432512.259
ATL2	91907.83831	72898.79584	64632.38213	174608.3991	177646.5062	222889.1825
SH3GL1	13571982.64	12088639.85	12979066.62	25174700.59	33888237.3	25422930.08
ACOT9	17758338.29	19979411.75	21482539.41	10958418.38	4535514.52	7815690.471
EXOC7	4644366.321	4884935.872	5096524.478	1598684.049	2472605.528	3054970.603
RPL22L1	3906406.604	5010029.924	4936576.413	10323672.23	13552063.27	15768481.09
CD99L2	2863806.28	3950262.693	4298992.367	667319.1652	704682.9976	1219602.139
HNRNPK	79127610.35	79082158.6	94685127.89	205141132.6	159119821.7	153407054.5
DDX21	666147.5699	818047.7898	238109.7484	6930289.932	4813995.546	4303112.248
DDX18	2501685.657	1741134.58	2569444.801	909369.1713	543094.2422	545082.5132
BSDC1	64345.75302	67082.75891	60376.31013	130734.0571	165531.8546	129135.895
RRAGC	3598030.405	2967980.087	2389053.283	148443.1515	885827.079	184242.9091
FASN	43572974.56	32239267.46	34611352.61	84455480.08	62826723.04	70025214.3
ACOX1	5276205.919	4945208.431	4721773.546	2828919.005	1128096.254	2072610.162
YTHDF2	162230.5579	178352.3977	221796.8654	784374.7765	558971.8703	530914.5324
ORMDL1	22078.42592	27041.88669	37033.34818	174550.6657	191784.3956	242772.8234
P4HB	920375856.2	1018058010	1017433015	726590057	824418753.9	715454515.2
GSN	56215879.23	77575931.55	71606425.97	32704000.64	5737537.775	4132563.979
STAT1	63848449.46	75647244.26	71189091.01	27313780.77	47688973.37	37216392.88
CAPG	56961705.39	76041767.83	74175086.21	34272839.03	40223247.25	33032554.43
MXRA7	9785308.24	12415732.22	12496499.21	6536348.974	5125175.928	4544369.561
ABHD14B	6211836.961	6138755.705	5697123.372	4447310.281	3240323.311	3521831.561
AUP1	3480848.432	5338293.531	6120261.612	1505149.988	540987.4514	1131330.91
MAP1A	46865302.07	56175515.84	58458689.79	27186996.41	24981770	37155201.74
HNRNPM	56149839.3	54343990.6	55541085.78	71402985.25	84272914.23	91162233.05
MATR3	31215001.25	23559781.55	28964140.83	39971999.96	37235453.81	40105068.03
PREP	10690470.84	13912440.54	11447572.88	6167937.85	2447920.571	5410264.34
ARPC4	39903048.56	35679074.79	31734513.47	14507889.51	16625341.12	16572472.08
GNL3	1635095.335	2204320.332	1752709.258	754456.3032	709083.1052	477637.3634
DHRS7	6358852.788	3357713.542	3951275.107	313338.8392	234967.4601	511260.8686
GBA1	21793849.8	22479756.52	22522923.49	15453987.73	7779883.79	11897642.25
PCYOX1	24689110.68	24976535.96	20721818.41	15662960.74	9547370.369	11911461.7
CAD	3513829.103	3600457.127	3054794.9	4790046.506	5894358.306	5070764.156
RGS10	6545889.293	10839216.07	9567791.656	2788877.812	2963833.166	63623.96157
ARHGEF12	1617106.172	2105663.662	2165534.233	197982.8998	790431.2224	977157.1972
SAP18	175290.5035	193965.0889	312690.125	1931410.419	4139537.315	3838605.771
NUTF2	52480486.19	62351536.34	66826210.58	31145615.82	323320.4541	311521.5284
SERPINC1	4182309.017	3833976.703	3274149.31	1998288.828	267962.8961	1143421.878
DLST	18592256.57	22679708.47	19004474.33	11151719.88	5314623.053	8696168.684
PSMB1	7450017.184	4633476.875	4938736.864	16173830.39	19914656.78	14147730.97
GJA1	7577651.597	8410357.059	9137184.639	3007352.284	4729623.637	5671656.515
GALNT10	1440268.681	1830869.127	1653359.006	581412.3071	760227.9851	986394.3203
UQCRB	3583660.985	2203048.979	2487659.428	17618810.12	11461379.54	11443652.68
TRAPPC3	3120578.038	2972579.22	3740954.25	130812.8251	1803743.594	296103.9547
SNX18	10502203.43	12496226.12	9897017.268	703409.7514	1496647.561	6077158.739
NOC4L	624846.3522	691630.2429	584240.875	1101333.606	1294721.611	1302901.849
MYL12A	416055.3598	223018.9691	963897.6377	2340552.267	3683989.753	4066585.641
CTSD	31987859.34	34961957.01	40671300.18	19016437.99	17932006.64	24636490.83
SCP2	33291094	39738004.89	43347855.37	9138115.115	19278244.4	19982179.59
BCAP31	52684184.84	71869319.99	72626200.19	32186062.33	17751959.23	35079606.57
RPL19	13694490.88	14172710.97	13996170.05	47656157.56	79880604.5	72566810.52
DUT	2755316.459	1438078.897	1267007.234	7100763.104	5834224.255	6435577.448
ERP44	22452547.72	29149373.2	28476122.76	46482278.9	38910665.47	38141080.61
PSMD6	4679402.286	3696330.72	3674384.163	6141878.686	6609495.551	7096713.609
PRPF31	1768011.248	1149656.07	1456207.838	3156071.699	4298403.719	2981333.382
NUMA1	9240024.211	8975777.194	10505942.33	15671777.86	22393075.68	17210648.55
ASS1	10417720.66	13658897.09	11057643.49	5002877.735	1128670.705	6076515.72
FGF2	4746342.735	6094408.073	3824090.246	1327921.107	2117217.099	1720040.434
RAB13	1970262.029	2050578.953	2306796.476	1038473.579	102311.785	605420.9636
FAM98B	57458.82208	59890.14413	43245.23461	676659.8207	537467.004	318831.2922
CSRP2	15707665.02	17800509.4	19314858.42	7767475.323	12643048.25	9990901.631
COL6A3	362675368.6	316932097	353749167.5	654429444.2	511161615.5	725088033.3
SND1	118924165.9	114506169.4	97730135.18	75007025.49	71414266.3	82363730.5
