Gene_name	Eto_1	Eto_2	Eto_3	FTY_Eto_1	FTY_Eto_2	FTY_Eto_3
MIX23	4019824.204	6499474.978	5388078.242	343558.3281	228907.6175	241323.2628
NMRAL1	678456.5004	993349.2791	799301.0344	63276.24156	74647.23162	37716.13266
MXRA5	29805585.43	46013729.74	41864383.79	4323577.164	4057870.874	2878353.234
DIAPH2	4683006.902	2464707.412	2734147.373	469104.7734	195445.581	432570.9786
AGT	1746717.705	2855310.348	2968670.339	304722.0313	262877.217	259428.8526
ITIH4	33342482.97	36933501.4	37897091.67	3410539.172	5451820.252	4535674.707
ELP2	159449093.9	255115937.1	200093543.8	26862666.92	40682507.83	26467128.61
RBBP4	29739451.55	39142566.26	34200009.29	5266238.504	5251535.584	5315152.621
RGS10	6545889.293	10839216.07	9567791.656	1147384.547	1422155.917	1775443.344
SERPINA5	914604.6057	1076507.913	1126216.179	257620.2813	355755.8321	99937.82859
AUP1	3480848.432	5338293.531	6120261.612	1174313.25	841873.5276	1161385.858
FETUB	36031625.94	50096394.8	34114739.42	8238824.012	9391319.696	9249502.429
DDX41	3189467.845	2180188.693	3013521.787	1006166.813	547675.7148	646400.1869
APOA1	60817879.99	104737627.7	92566179.77	22697322.68	24078646.87	20821247.99
ACTA2	71979809.11	71354371.16	40611262.45	16294009.71	19010287.43	17293223.58
EDIL3	3773205.147	5225984.799	4885595.994	1363775.305	1202906.469	1547867.72
SERPINA1	516861132.8	535365076.8	488194144.5	160229927.4	170134503.3	167880872.1
NUP153	834008.2657	1032996.011	964986.1985	282000.4063	341151.9518	305916.8828
HBA	186001336.3	254416767.9	260297517.2	69972335.34	89992263.04	73594912.15
ADIPOQ	3140215.982	4925354.822	3518287.826	1153561.406	1074524.468	1932968.046
SULF1	2088522.005	2598557.306	2323172.479	836156	835836.6249	807639.215
NEK9	5694617.933	7698981.524	6945618.84	2676583.648	2335850.792	2196489.052
EXOC7	4644366.321	4884935.872	5096524.478	1704040.07	1870747.362	1691901.547
C3	21243564.98	26968509.86	21907780.54	7384276.262	9929429.498	8421568.769
SERPINC1	4182309.017	3833976.703	3274149.31	1441917.752	1417020.564	1308263.492
ORM1	21743397.71	15526723.05	13255982.36	5643644.32	6860162.395	6351573.099
ISG15	4592019.443	6588272.407	7204031.009	2343316.313	2509179.261	2099468.431
ARSB	2867597.306	3225680.5	3021224.191	1056227	1336762.889	1225796.806
