Gene	FTY_1	FTY_2	FTY_3	FTY_Eto_1	FTY_Eto_2	FTY_Eto_3
RPL31	84345399.88	98833994.26	88839561.57	33548222.63	33839538.41	37119843.89
ELMOD2	1848250.446	1851972.93	1929645.614	3244953.516	3360841.731	3644902.576
REEP5	16873988.07	14131717.61	15099074.38	261970.13	391187.4373	449016.1873
SFPQ	50500784.66	40583207.14	41307928.18	22790066.92	23392088.8	22922297.56
PEPD	36265658.04	50103373.12	18528451	157901167.4	127006345	123157845.1
SH2D4A	182837.698	430469.4655	351260.1749	1614470.195	1519411.8	1480767.519
ADA	247581.9417	579728.2125	717533.3677	1814437.031	1811012.428	1751417.768
ERP44	46482278.9	38910665.47	38141080.61	20969673.82	20159258.69	21198521.61
P3H3	2063546.121	288827.1795	1707697.674	6565242.094	5096708.502	5965283
YES1	606776.042	3040395.937	3515875.739	29968218.23	22466419.02	29796967.61
MSH2	2785726.143	4678360.868	2198485.217	8464980.539	7349077.503	7873173.803
FRMD6	327213.2307	286431.8894	407380.701	1218758.563	1533703.075	1502057.811
MRPL39	693681.4979	349749.5529	476332.9089	1715398.012	1597957.792	1442877.697
P3H1	37941596.39	31532504.53	40244016.96	51249650.34	52770022.98	51500353.73
HMOX1	5637587.187	6599287.147	5695434.98	3311619.102	3170960.498	2433446.81
ABHD14B	4447310.281	3240323.311	3521831.561	6561817.195	6168841.416	6671873.813
TCEA1	953892.6965	272657.1808	602014.276	2298116.5	2420320.643	2542419.063
CPPED1	3483925.037	2263325.086	4071628.823	261970.13	391230.4757	448890.0784
CTSB	195764861.7	240731634.3	215025742.9	127489022.6	109458491.1	112299001.3
ACTR3	14557098.2	16002461.08	25589852.53	69478505.62	56408855.74	67661465.95
PTGES3	49178354.13	50984356.04	46436985.6	38121745.17	38926162.46	35582831.39
FLNB	174607898.7	182186587.4	185151485.2	217227617.9	211382454.6	214265548.3
TPM4	148481635.8	139408628.1	155742736.7	182828415.5	183083315.1	178721213.4
RPL12	113527610.2	113256368.7	99691247.58	59381084.12	53900573.26	59773538.99
SH3GLB1	4272616.547	3171651.795	3299207.223	6703732.436	6004429.948	7432376.175
ZC3H15	3280927.343	4217722.347	4445413.55	7932031.844	8381375.118	7767089.504
CALU	316611992.3	315114629.9	241019150.9	161562651.3	166482312.5	165084545
EPHX1	1464040.142	3943862.07	3644094.404	7792912.938	9597568.254	10115217.33
DDX18	909369.1713	543094.2422	545082.5132	2564471.426	2040543.91	2171005.513
ARHGEF12	197982.8998	790431.2224	977157.1972	2106894.031	2049414.822	2105401.055
ARFIP2	2598841.037	1838989.917	1800445.404	322111.3984	356369.8639	784028.9833
BYSL	1160961.287	1201736.89	945703.7124	4705167.938	4806785.231	3843273.034
TRAPPC3	130812.8251	1803743.594	296103.9547	3542993.313	3338035.326	3484698.371
EIF2B1	633401.3395	66293.13407	140572.2744	1504535.414	2576279.285	2373109.372
BPHL	929141.2555	1159056.533	759793.6216	1666871.25	1545564.562	1517644.415
ITSN1	162894.3306	1658778.732	831247.6419	4694253.172	4338669.681	4055209.12
CTSA	13668084.99	16251779.9	18153001.44	24521741.75	24939171.03	22384275.66
AHCYL1	2157560.794	1123919.901	2153857.463	4456896.813	3900653.436	4060403.448
FN1	670342640.1	712766778.7	744619721.8	502861442.4	508375513.2	447471574
PRKCSH	21183231.19	12351051.38	32146472.49	55370977.63	57513456.88	54925783.93
DDX21	6930289.932	4813995.546	4303112.248	1402587.789	766143.5934	871249.9477
SUPT16H	2685308.772	1752635.99	3018258.451	5329839.826	4892812.803	5223788.788
MYBBP1A	1634710.864	1244143.319	1336653.74	3549257.016	2368124.706	3157658.254
UQCRB	17618810.12	11461379.54	11443652.68	2726558.75	2970565.84	2634953.405
ITGB1	74985928.23	107779675.4	90810475.03	142388550.5	156206765.9	150317406.2
DYNC1I2	19296957.88	17889249.34	17653322.86	14651240.3	15248949.13	15169482.57
PSMD10	2941154.78	812008.3507	1427449.439	4707415.25	6958691.708	7782049.393
NOC3L	1030870.29	1504942.458	2311034.419	3844509.156	3449604.937	3696067.691
CKAP4	202908523	272288862.3	269181096.2	373083148.1	372504345.1	363152812
FARSB	16792809.6	17011089.23	19332961.86	25291511.91	25808746.35	23481350.47
SAP18	1931410.419	4139537.315	3838605.771	463405.1563	405519.4126	336483.1015
SND1	75007025.49	71414266.3	82363730.5	111529750.8	117806200.3	104469414.1
SPTBN1	120123344.2	122867041.7	127116716.7	147981236.6	142956083.3	145251431.7
ANKFY1	2011809.96	701067.6741	1649705.899	3454708.598	2983797.104	3706924.348
CTNND1	19092253.61	26661582.01	22977141.65	13964748.31	12838547.34	12718530.91
RETSAT	3081215.542	2720225.059	1850487.416	773890.625	798856.7207	917111.013
PPP3CA	2264943.78	2174983.028	3162653.375	4696243.641	4405622.467	4202148.304
NUTF2	31145615.82	323320.4541	311521.5284	57177471.37	53137538.52	53279660.5
CALD1	116500739.5	136745862	175553311.5	222467082.7	217691062.5	220534311
HNRNPL	50255042.68	59658947.55	55868113.25	44286057.73	38475925.93	40408133.44
SERBP1	44589450.22	22529531.23	36315788.59	62293005.95	58007384.72	59372069.84
SGCB	13015782.53	14850414.62	25331809.87	1553944.172	3923260.891	1717620.406
GSTM3	5968664.254	4965599.716	5312551.729	7573285.688	7035341.873	7002064.145
ABRACL	3154475.714	3402257.809	4050727.171	2137538.375	1970587.149	2561527.145
PDCD11	1014672.693	1013467.589	2071503.15	4589639.879	4578229.425	4014564.9
PLEKHO2	820470.4246	1431655.726	1247943.027	12623592.08	11814731.13	11073547.37
DPP9	6169461.766	5832633.212	8473380.895	12736316.3	11762745.63	11621007.48
NMRAL1	487847.0375	1027319.056	1060572.411	63276.24156	74647.23162	37716.13266
GATD3B	4422208.145	5405187.343	6769405.949	9972934.719	10071606.87	9457579.846
GNL3	754456.3032	709083.1052	477637.3634	1349066.742	1808276.893	1723529.153
SH3GL1	25174700.59	33888237.3	25422930.08	17708459.59	17976106.79	16322435.91
ATP5PO	21019087.47	14553116.86	10146455.16	3959253.578	2770036.716	2039927.986
CAPG	34272839.03	40223247.25	33032554.43	66032398.37	61896516.04	55977183.27
